Species,Barangay,Municipality,Province,Fingerlings,Year,Month,yield_ratio
Bangus,Baon,San Isidro,Davao Oriental,17000,2024,6,0.36911764705882355
Bangus,Malaga,Panabo City,Davao del Norte,25000,2024,6,0.35256
Bangus,Malaga,Samal Island,Davao del Norte,5000,2024,6,0.3766
Bangus,Bongbong,Pantukan,Davao de Oro,3000,2024,6,0.3636666666666667
Bangus,Jp Laurel,Pantukan,Davao de Oro,3000,2024,6,0.36966666666666664
Bangus,Busaon,Tagum City,Davao del Norte,40000,2024,6,0.370375
Bangus,Poblacion,Lupon,Davao Oriental,6000,2024,7,0.3531666666666667
Bangus,Bagumbayan,Lupon,Davao Oriental,6000,2024,7,0.375
Bangus,Busaon,Tagum City,Davao del Norte,40000,2024,7,0.3545
Bangus,Poblacion,Lupon,Davao Oriental,21000,2024,7,0.3747142857142857
Bangus,Lapaz,Carmen,Davao del Norte,3500,2024,8,0.37257142857142855
Bangus,Malaga,Panabo City,Davao del Norte,35000,2023,10,0.35591428571428574
Bangus,Malaga,Panabo City,Davao del Norte,35000,2023,10,0.35445714285714286
Bangus,Busaon,Tagum City,Davao del Norte,30000,2023,10,0.3615
Bangus,Busaon,Tagum City,Davao del Norte,30000,2023,10,0.3694
Bangus,Busaon,Tagum City,Davao del Norte,30000,2023,10,0.35806666666666664
Bangus,Busaon,Tagum City,Davao del Norte,35000,2023,10,0.3736857142857143
Bangus,Busaon,Tagum City,Davao del Norte,30000,2023,10,0.3617
Bangus,Liboganon,Tagum City,Davao del Norte,25000,2023,10,0.35764
Bangus,Liboganon,Tagum City,Davao del Norte,40000,2023,10,0.357525
Bangus,Liboganon,Tagum City,Davao del Norte,30000,2023,10,0.37196666666666667
Bangus,Magsaysay,Carmen,Davao del Norte,50000,2023,10,0.36624
Bangus,Tubod,Carmen,Davao del Norte,30000,2023,10,0.3653
Bangus,Tubod,Carmen,Davao del Norte,3000,2023,10,0.36766666666666664
Bangus,Tubod,Carmen,Davao del Norte,10000,2023,10,0.3652
Bangus,Magsaysay,Carmen,Davao del Norte,8000,2023,10,0.376375
Bangus,Magsaysay,Carmen,Davao del Norte,5000,2023,10,0.3644
Bangus,Tubod,Carmen,Davao del Norte,5000,2023,10,0.369
Bangus,Tubod,Carmen,Davao del Norte,6000,2023,10,0.37616666666666665
Bangus,Tubod,Carmen,Davao del Norte,6000,2023,10,0.36133333333333334
Bangus,Magsaysay,Carmen,Davao del Norte,5000,2023,10,0.371
Bangus,Magsaysay,Carmen,Davao del Norte,6000,2023,10,0.37183333333333335
Bangus,Magsaysay,Carmen,Davao del Norte,7000,2023,10,0.3648571428571429
Bangus,Magsaysay,Carmen,Davao del Norte,6500,2023,10,0.35923076923076924
Bangus,Magsaysay,Carmen,Davao del Norte,5000,2023,10,0.3524
Bangus,Magsaysay,Carmen,Davao del Norte,6500,2023,10,0.354
Bangus,Ising,Carmen,Davao del Norte,6000,2023,10,0.35683333333333334
Bangus,Ising,Carmen,Davao del Norte,10000,2023,10,0.3773
Bangus,Ising,Carmen,Davao del Norte,8000,2023,10,0.368875
Bangus,Ising,Carmen,Davao del Norte,2000,2023,10,0.3665
Bangus,Sto. Niño,Carmen,Davao del Norte,3000,2023,10,0.36733333333333335
Bangus,Sto. Niño,Carmen,Davao del Norte,3000,2023,10,0.37633333333333335
Bangus,Sto. Niño,Carmen,Davao del Norte,3000,2023,10,0.36633333333333334
Bangus,Sto. Niño,Carmen,Davao del Norte,5000,2023,10,0.3736
Bangus,Sto. Niño,Carmen,Davao del Norte,4000,2023,10,0.36925
Bangus,Sto. Niño,Carmen,Davao del Norte,10000,2023,10,0.3646
Bangus,Tubod,Carmen,Davao del Norte,18600,2023,10,0.35274193548387095
Bangus,Tibagon,Pantukan,Davao de Oro,6000,2023,10,0.35833333333333334
Bangus,Tibagon,Pantukan,Davao de Oro,5000,2023,10,0.362
Bangus,Tibagon,Pantukan,Davao de Oro,3000,2023,10,0.36633333333333334
Bangus,Tibagon,Pantukan,Davao de Oro,3000,2023,10,0.36966666666666664
Bangus,Tibagon,Pantukan,Davao de Oro,3000,2023,10,0.36233333333333334
Bangus,Tibagon,Pantukan,Davao de Oro,6000,2023,10,0.36133333333333334
Bangus,Tibagon,Pantukan,Davao de Oro,40000,2023,10,0.351025
Bangus,Tibagon,Pantukan,Davao de Oro,40000,2023,10,0.358075
Bangus,Magnaga,Pantukan,Davao de Oro,3000,2023,10,0.35933333333333334
Bangus,Magnaga,Pantukan,Davao de Oro,3000,2023,10,0.375
Bangus,Magnaga,Pantukan,Davao de Oro,3000,2023,10,0.3546666666666667
Bangus,Magnaga,Pantukan,Davao de Oro,5000,2023,10,0.3596
Bangus,Calubihan,Banaybanay,Davao Oriental,30000,2023,10,0.35173333333333334
Bangus,Caganganan,Banaybanay,Davao Oriental,30000,2023,10,0.3571666666666667
Bangus,Calubihan,Banaybanay,Davao Oriental,30000,2023,10,0.3741333333333333
Bangus,Caganganan,Banaybanay,Davao Oriental,33400,2023,10,0.3539520958083832
Bangus,Marilog,Davao City,Davao del Sur,8000,2023,10,0.35375
Bangus,Bagumbayan,Lupon,Davao Oriental,30000,2023,12,0.378
Bangus,Bagumbayan,Lupon ,Davao Oriental,30000,2023,12,0.3631333333333333
Bangus,Liboganon,Tagum City,Davao del Norte,50000,2023,12,0.36694
Bangus,Liboganon,Tagum City,Davao del Norte,50000,2023,12,0.35276
Bangus,Liboganon,Tagum City,Davao del Norte,35000,2023,12,0.37211428571428573
Bangus,Baguhin,Cagwait,Surigao del Sur,30000,2023,12,0.37183333333333335
Bangus,Baguhin,Cagwait,Surigao del Sur,50000,2023,12,0.3675
Bangus,Baguhin,Cagwait,Surigao del Sur,50000,2023,12,0.36124
Bangus,Bongbong,Pantukan,Davao de Oro,50000,2023,12,0.3777
Bangus,Madaum,Tagum City,Davao del Norte,50000,2023,12,0.3683
Bangus,Banza,Gigaquit,Surigao del Sur,50000,2023,12,0.36566
Bangus,Marilog,Davao City,Davao del Sur,2000,2023,12,0.3625
Tilapia,Tubod,Carmen,Davao del Norte,3000,2023,1,0.194
Tilapia,Bobongon,Sto Thomas,Davao del Norte,2000,2023,1,0.1975
Tilapia,Baybay,Malalag,Davao del Sur,3000,2023,1,0.198
Tilapia,Mangalcal,Carmen,Davao del Norte,1000,2023,2,0.188
Tilapia,San Vicente,Panabo City,Davao del Norte,2000,2023,2,0.1905
Tilapia,Sto. Niño,Panabo City,Davao del Norte,1000,2023,2,0.196
Tilapia,Cagangohan,Panabo City,Davao del Norte,10900,2023,2,0.18935779816513762
Tilapia,Anibongan,Maco,Davao de Oro,21000,2023,2,0.1929047619047619
Tilapia,Tubod,Carmen,Davao del Norte,1000,2023,2,0.188
Tilapia,New Pandan,Panabo City,Davao del Norte,1000,2023,2,0.195
Tilapia,Southern Davao,Panabo City,Davao del Norte,1000,2023,2,0.198
